trial_id,experiment_id,source_id,country,state,region,district,latitude,longitude,crop,crop_type,season,year,treatment,product_name,product_category,bio_applied,bio_product_type,bio_dosage_l_ha,control_group,treated_group,soil_organic_carbon,soil_soc,soil_ph,nitrogen_kgha,phosphorus_kgha,potassium_kgha,clay_content_pct,sulphur_ppm,zinc_ppm,boron_ppm,avg_temperature_c,heat_stress_days,cumulative_rainfall_mm,growing_degree_days,humidity_pct,wind_speed_kmh,solar_rad_mj,peak_ndvi,yield,observed_yield_q_acre,baseline_yield,treatment_yield,yield_difference,yield_percentage_change,bio_attributed_lift_q,net_profit_rs,field_id,trial_design,replication_count,source,source_url
TR-2022-GU-00011,EXP-2022-GU-SOY-0006,ICAR_SYNGENTA_TRIALS,India,Gujarat,Gujarat & Saurashtra Plain,Rajkot,22.3039,70.8022,Soybean,Soybean,Kharif,2022,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.29,0.29,7.94,179.9,12.7,360.2,35.3,13.1,0.74,0.5,29.5,5,679.3,1917.5,82.1,13.4,16.3,0.685,9.46,9.46,9.46,9.46,0.0,0.0,0.0,0.0,IND_FIELD_0011,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2022-GU-00012,EXP-2022-GU-SOY-0006,ICAR_SYNGENTA_TRIALS,India,Gujarat,Gujarat & Saurashtra Plain,Rajkot,22.3039,70.8022,Soybean,Soybean,Kharif,2022,Syngenta Quantis,Syngenta Quantis,Biostimulant,1,Syngenta Quantis,2.0,0,1,0.29,0.29,7.94,179.9,12.7,360.2,35.3,13.1,0.74,0.5,29.5,5,679.3,1917.5,82.1,13.4,16.3,0.685,11.05,11.05,9.46,11.05,1.59,16.81,1.59,5514.0,IND_FIELD_0012,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2021-UT-00013,EXP-2021-UT-GRO-0007,ICAR_SYNGENTA_TRIALS,India,Uttar Pradesh,Indo-Gangetic Plain (Central),Varanasi,25.3176,82.9739,Groundnut (Peanut),Groundnut (Peanut),Kharif,2021,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.66,0.66,8.05,215.3,23.2,246.0,23.4,15.9,0.67,0.62,28.0,1,644.3,1820.0,73.6,12.4,19.8,0.775,12.69,12.69,12.69,12.69,0.0,0.0,0.0,0.0,IND_FIELD_0013,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2021-UT-00014,EXP-2021-UT-GRO-0007,ICAR_SYNGENTA_TRIALS,India,Uttar Pradesh,Indo-Gangetic Plain (Central),Varanasi,25.3176,82.9739,Groundnut (Peanut),Groundnut (Peanut),Kharif,2021,Syngenta Isabion,Syngenta Isabion,Biostimulant,1,Syngenta Isabion,1.5,0,1,0.66,0.66,8.05,215.3,23.2,246.0,23.4,15.9,0.67,0.62,28.0,1,644.3,1820.0,73.6,12.4,19.8,0.775,13.25,13.25,12.69,13.25,0.56,4.41,0.56,1226.0,IND_FIELD_0014,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2025-GU-00015,EXP-2025-GU-SUG-0008,ICAR_SYNGENTA_TRIALS,India,Gujarat,Gujarat & Saurashtra Plain,Rajkot,22.3039,70.8022,Sugarcane,Sugarcane,Annual,2025,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.44,0.44,7.32,236.7,22.5,325.3,36.3,18.3,0.9,0.65,29.0,3,30.0,1885.0,60.5,6.3,20.4,0.769,307.73,307.73,307.73,307.73,0.0,0.0,0.0,0.0,IND_FIELD_0015,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2025-GU-00016,EXP-2025-GU-SUG-0008,ICAR_SYNGENTA_TRIALS,India,Gujarat,Gujarat & Saurashtra Plain,Rajkot,22.3039,70.8022,Sugarcane,Sugarcane,Annual,2025,Syngenta CropBio+,Syngenta CropBio+,Biostimulant,1,Syngenta CropBio+,3.0,0,1,0.44,0.44,7.32,236.7,22.5,325.3,36.3,18.3,0.9,0.65,29.0,3,30.0,1885.0,60.5,6.3,20.4,0.769,354.89,354.89,307.73,354.89,47.16,15.33,47.16,214236.0,IND_FIELD_0016,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2021-UT-00017,EXP-2021-UT-SOY-0009,ICAR_SYNGENTA_TRIALS,India,Uttar Pradesh,Indo-Gangetic Plain (Central),Varanasi,25.3176,82.9739,Soybean,Soybean,Kharif,2021,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.35,0.35,7.39,245.8,23.8,268.4,35.8,23.6,0.87,0.38,28.4,2,572.9,1846.0,72.8,8.9,20.3,0.713,10.11,10.11,10.11,10.11,0.0,0.0,0.0,0.0,IND_FIELD_0017,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2021-UT-00018,EXP-2021-UT-SOY-0009,ICAR_SYNGENTA_TRIALS,India,Uttar Pradesh,Indo-Gangetic Plain (Central),Varanasi,25.3176,82.9739,Soybean,Soybean,Kharif,2021,Syngenta Quantis,Syngenta Quantis,Biostimulant,1,Syngenta Quantis,2.0,0,1,0.35,0.35,7.39,245.8,23.8,268.4,35.8,23.6,0.87,0.38,28.4,2,572.9,1846.0,72.8,8.9,20.3,0.713,10.39,10.39,10.11,10.39,0.28,2.77,0.28,-512.0,IND_FIELD_0018,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2022-MA-00019,EXP-2022-MA-MUS-0010,ICAR_SYNGENTA_TRIALS,India,Maharashtra,Maharashtra & Vidarbha (Deccan),Nagpur,21.1458,79.0882,Mustard / Rapeseed,Mustard / Rapeseed,Rabi,2022,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.33,0.33,7.89,166.4,18.9,355.4,25.8,14.5,0.86,0.41,29.6,8,206.1,1924.0,82.4,9.5,21.8,0.749,6.08,6.08,6.08,6.08,0.0,0.0,0.0,0.0,IND_FIELD_0019,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2022-MA-00020,EXP-2022-MA-MUS-0010,ICAR_SYNGENTA_TRIALS,India,Maharashtra,Maharashtra & Vidarbha (Deccan),Nagpur,21.1458,79.0882,Mustard / Rapeseed,Mustard / Rapeseed,Rabi,2022,Syngenta Quantis,Syngenta Quantis,Biostimulant,1,Syngenta Quantis,1.5,0,1,0.33,0.33,7.89,166.4,18.9,355.4,25.8,14.5,0.86,0.41,29.6,8,206.1,1924.0,82.4,9.5,21.8,0.749,7.25,7.25,6.08,7.25,1.17,19.24,1.17,4032.0,IND_FIELD_0020,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2023-TA-00021,EXP-2023-TA-MUS-0011,ICAR_SYNGENTA_TRIALS,India,Tamil Nadu,Tamil Nadu & Cauvery Delta,Coimbatore,11.0168,76.9558,Mustard / Rapeseed,Mustard / Rapeseed,Rabi,2023,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.54,0.54,7.26,228.6,17.3,213.5,34.5,12.5,0.87,0.44,27.5,3,388.9,1787.5,86.4,13.3,20.6,0.681,7.53,7.53,7.53,7.53,0.0,0.0,0.0,0.0,IND_FIELD_0021,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2023-TA-00022,EXP-2023-TA-MUS-0011,ICAR_SYNGENTA_TRIALS,India,Tamil Nadu,Tamil Nadu & Cauvery Delta,Coimbatore,11.0168,76.9558,Mustard / Rapeseed,Mustard / Rapeseed,Rabi,2023,Syngenta Quantis,Syngenta Quantis,Biostimulant,1,Syngenta Quantis,1.5,0,1,0.54,0.54,7.26,228.6,17.3,213.5,34.5,12.5,0.87,0.44,27.5,3,388.9,1787.5,86.4,13.3,20.6,0.681,8.81,8.81,7.53,8.81,1.28,17.0,1.28,4538.0,IND_FIELD_0022,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2024-TE-00023,EXP-2024-TE-WHE-0012,ICAR_SYNGENTA_TRIALS,India,Telangana,Telangana & Andhra (Krishna Basin),Warangal,17.9689,79.5941,Wheat,Wheat,Rabi,2024,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.45,0.45,6.91,204.8,18.3,258.3,29.4,14.6,0.83,0.65,27.5,5,129.5,1787.5,56.2,10.1,17.7,0.623,15.57,15.57,15.57,15.57,0.0,0.0,0.0,0.0,IND_FIELD_0023,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2024-TE-00024,EXP-2024-TE-WHE-0012,ICAR_SYNGENTA_TRIALS,India,Telangana,Telangana & Andhra (Krishna Basin),Warangal,17.9689,79.5941,Wheat,Wheat,Rabi,2024,Syngenta Quantis,Syngenta Quantis,Biostimulant,1,Syngenta Quantis,1.5,0,1,0.45,0.45,6.91,204.8,18.3,258.3,29.4,14.6,0.83,0.65,27.5,5,129.5,1787.5,56.2,10.1,17.7,0.623,18.25,18.25,15.57,18.25,2.68,17.21,2.68,10978.0,IND_FIELD_0024,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2023-MA-00025,EXP-2023-MA-RIC-0013,ICAR_SYNGENTA_TRIALS,India,Maharashtra,Maharashtra & Vidarbha (Deccan),Nagpur,21.1458,79.0882,Rice (Paddy),Rice (Paddy),Kharif,2023,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.44,0.44,7.86,210.1,21.8,417.3,34.9,16.0,0.88,0.69,30.1,2,728.1,1956.5,72.7,12.7,19.6,0.6,23.01,23.01,23.01,23.01,0.0,0.0,0.0,0.0,IND_FIELD_0025,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2023-MA-00026,EXP-2023-MA-RIC-0013,ICAR_SYNGENTA_TRIALS,India,Maharashtra,Maharashtra & Vidarbha (Deccan),Nagpur,21.1458,79.0882,Rice (Paddy),Rice (Paddy),Kharif,2023,Syngenta Quantis,Syngenta Quantis,Biostimulant,1,Syngenta Quantis,2.0,0,1,0.44,0.44,7.86,210.1,21.8,417.3,34.9,16.0,0.88,0.69,30.1,2,728.1,1956.5,72.7,12.7,19.6,0.6,23.84,23.84,23.01,23.84,0.83,3.61,0.83,2018.0,IND_FIELD_0026,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2021-GU-00027,EXP-2021-GU-COT-0014,ICAR_SYNGENTA_TRIALS,India,Gujarat,Gujarat & Saurashtra Plain,Rajkot,22.3039,70.8022,Cotton,Cotton,Kharif,2021,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.39,0.39,7.71,202.3,20.4,341.4,27.6,12.8,1.04,0.72,29.6,2,738.1,1924.0,75.5,11.2,18.4,0.688,12.09,12.09,12.09,12.09,0.0,0.0,0.0,0.0,IND_FIELD_0027,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2021-GU-00028,EXP-2021-GU-COT-0014,ICAR_SYNGENTA_TRIALS,India,Gujarat,Gujarat & Saurashtra Plain,Rajkot,22.3039,70.8022,Cotton,Cotton,Kharif,2021,Syngenta Isabion,Syngenta Isabion,Biostimulant,1,Syngenta Isabion,1.5,0,1,0.39,0.39,7.71,202.3,20.4,341.4,27.6,12.8,1.04,0.72,29.6,2,738.1,1924.0,75.5,11.2,18.4,0.688,12.58,12.58,12.09,12.58,0.49,4.05,0.49,904.0,IND_FIELD_0028,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2025-TA-00029,EXP-2025-TA-CHI-0015,ICAR_SYNGENTA_TRIALS,India,Tamil Nadu,Tamil Nadu & Cauvery Delta,Coimbatore,11.0168,76.9558,Chickpea (Gram / Chana),Chickpea (Gram / Chana),Rabi,2025,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.5,0.5,8.04,258.9,24.1,337.2,32.1,16.4,0.79,0.59,28.1,4,270.5,1826.5,56.0,11.7,20.2,0.631,7.37,7.37,7.37,7.37,0.0,0.0,0.0,0.0,IND_FIELD_0029,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2025-TA-00030,EXP-2025-TA-CHI-0015,ICAR_SYNGENTA_TRIALS,India,Tamil Nadu,Tamil Nadu & Cauvery Delta,Coimbatore,11.0168,76.9558,Chickpea (Gram / Chana),Chickpea (Gram / Chana),Rabi,2025,Syngenta Isabion,Syngenta Isabion,Biostimulant,1,Syngenta Isabion,1.5,0,1,0.5,0.5,8.04,258.9,24.1,337.2,32.1,16.4,0.79,0.59,28.1,4,270.5,1826.5,56.0,11.7,20.2,0.631,7.36,7.36,7.37,7.36,0.0,0.0,0.0,-1350.0,IND_FIELD_0030,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2023-GU-00031,EXP-2023-GU-MUS-0016,ICAR_SYNGENTA_TRIALS,India,Gujarat,Gujarat & Saurashtra Plain,Rajkot,22.3039,70.8022,Mustard / Rapeseed,Mustard / Rapeseed,Rabi,2023,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.64,0.64,8.15,242.5,13.8,368.2,35.9,17.1,1.08,0.49,26.5,1,286.0,1722.5,47.6,13.9,17.7,0.68,6.9,6.9,6.9,6.9,0.0,0.0,0.0,0.0,IND_FIELD_0031,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2023-GU-00032,EXP-2023-GU-MUS-0016,ICAR_SYNGENTA_TRIALS,India,Gujarat,Gujarat & Saurashtra Plain,Rajkot,22.3039,70.8022,Mustard / Rapeseed,Mustard / Rapeseed,Rabi,2023,Syngenta Quantis,Syngenta Quantis,Biostimulant,1,Syngenta Quantis,1.5,0,1,0.64,0.64,8.15,242.5,13.8,368.2,35.9,17.1,1.08,0.49,26.5,1,286.0,1722.5,47.6,13.9,17.7,0.68,7.46,7.46,6.9,7.46,0.56,8.12,0.56,1226.0,IND_FIELD_0032,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2021-UT-00033,EXP-2021-UT-SUG-0017,ICAR_SYNGENTA_TRIALS,India,Uttar Pradesh,Indo-Gangetic Plain (Central),Varanasi,25.3176,82.9739,Sugarcane,Sugarcane,Annual,2021,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.62,0.62,8.01,232.2,25.4,162.2,26.1,12.8,0.94,0.56,31.5,1,197.4,2047.5,68.5,15.9,19.5,0.65,349.75,349.75,349.75,349.75,0.0,0.0,0.0,0.0,IND_FIELD_0033,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2021-UT-00034,EXP-2021-UT-SUG-0017,ICAR_SYNGENTA_TRIALS,India,Uttar Pradesh,Indo-Gangetic Plain (Central),Varanasi,25.3176,82.9739,Sugarcane,Sugarcane,Annual,2021,Syngenta CropBio+,Syngenta CropBio+,Biostimulant,1,Syngenta CropBio+,3.0,0,1,0.62,0.62,8.01,232.2,25.4,162.2,26.1,12.8,0.94,0.56,31.5,1,197.4,2047.5,68.5,15.9,19.5,0.65,395.33,395.33,349.75,395.33,45.58,13.03,45.58,206968.0,IND_FIELD_0034,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2025-MA-00035,EXP-2025-MA-MUS-0018,ICAR_SYNGENTA_TRIALS,India,Maharashtra,Maharashtra & Vidarbha (Deccan),Nagpur,21.1458,79.0882,Mustard / Rapeseed,Mustard / Rapeseed,Rabi,2025,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.66,0.66,7.45,201.8,13.1,320.4,23.5,19.6,0.7,0.44,24.5,1,72.9,1592.5,61.5,5.0,14.7,0.728,6.45,6.45,6.45,6.45,0.0,0.0,0.0,0.0,IND_FIELD_0035,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2025-MA-00036,EXP-2025-MA-MUS-0018,ICAR_SYNGENTA_TRIALS,India,Maharashtra,Maharashtra & Vidarbha (Deccan),Nagpur,21.1458,79.0882,Mustard / Rapeseed,Mustard / Rapeseed,Rabi,2025,Syngenta Quantis,Syngenta Quantis,Biostimulant,1,Syngenta Quantis,1.5,0,1,0.66,0.66,7.45,201.8,13.1,320.4,23.5,19.6,0.7,0.44,24.5,1,72.9,1592.5,61.5,5.0,14.7,0.728,7.26,7.26,6.45,7.26,0.81,12.56,0.81,2376.0,IND_FIELD_0036,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2025-TA-00037,EXP-2025-TA-MAI-0019,ICAR_SYNGENTA_TRIALS,India,Tamil Nadu,Tamil Nadu & Cauvery Delta,Coimbatore,11.0168,76.9558,Maize,Maize,Kharif,2025,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.4,0.4,7.68,279.0,17.8,298.6,31.9,18.8,0.71,0.69,27.4,1,714.2,1781.0,87.1,10.4,19.0,0.792,25.46,25.46,25.46,25.46,0.0,0.0,0.0,0.0,IND_FIELD_0037,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2025-TA-00038,EXP-2025-TA-MAI-0019,ICAR_SYNGENTA_TRIALS,India,Tamil Nadu,Tamil Nadu & Cauvery Delta,Coimbatore,11.0168,76.9558,Maize,Maize,Kharif,2025,Syngenta Isabion,Syngenta Isabion,Biostimulant,1,Syngenta Isabion,2.0,0,1,0.4,0.4,7.68,279.0,17.8,298.6,31.9,18.8,0.71,0.69,27.4,1,714.2,1781.0,87.1,10.4,19.0,0.792,26.29,26.29,25.46,26.29,0.83,3.26,0.83,2018.0,IND_FIELD_0038,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2022-KA-00039,EXP-2022-KA-MAI-0020,ICAR_SYNGENTA_TRIALS,India,Karnataka,Karnataka (Deccan Plateau),Dharwad,15.4589,75.0078,Maize,Maize,Kharif,2022,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.72,0.72,6.46,217.2,25.7,259.7,14.0,13.1,0.75,0.66,26.8,10,933.9,1742.0,71.6,14.3,20.7,0.673,20.05,20.05,20.05,20.05,0.0,0.0,0.0,0.0,IND_FIELD_0039,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2022-KA-00040,EXP-2022-KA-MAI-0020,ICAR_SYNGENTA_TRIALS,India,Karnataka,Karnataka (Deccan Plateau),Dharwad,15.4589,75.0078,Maize,Maize,Kharif,2022,Syngenta Isabion,Syngenta Isabion,Biostimulant,1,Syngenta Isabion,2.0,0,1,0.72,0.72,6.46,217.2,25.7,259.7,14.0,13.1,0.75,0.66,26.8,10,933.9,1742.0,71.6,14.3,20.7,0.673,21.18,21.18,20.05,21.18,1.13,5.64,1.13,3398.0,IND_FIELD_0040,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2024-GU-00041,EXP-2024-GU-SOY-0021,ICAR_SYNGENTA_TRIALS,India,Gujarat,Gujarat & Saurashtra Plain,Rajkot,22.3039,70.8022,Soybean,Soybean,Kharif,2024,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.58,0.58,7.84,199.5,13.6,314.1,27.8,7.6,1.03,0.29,34.6,5,684.4,2249.0,78.7,9.7,19.4,0.723,9.67,9.67,9.67,9.67,0.0,0.0,0.0,0.0,IND_FIELD_0041,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
